algorithm,d,density,n_samples,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,runtime_sec_mean,runtime_sec_std
ges,4,0.5,5000,50,0.02,0.1414213562373095,0.0,0.0592,0.0,0.0,0.0,0.0,0.014920403161086141,0.004686816190570628
ges,4,0.5,10000,50,0.02,0.1414213562373095,0.0,0.0592,0.0,0.0,0.0,0.0,0.016074617817066608,0.005293468950620154
ges,4,0.8,20,50,1.38,1.1228607778930622,1.0687588716123781,1.6912411283876216,0.76,1.0606120681868907,0.4660133336356902,1.0539866663643098,0.013055534372106194,0.0029471673967437118
ges,4,0.8,50,50,0.94,1.057721849166444,0.6468144614753313,1.2331855385246686,0.56,1.0720950308167838,0.2628304187841563,0.8571695812158437,0.012843171036802232,0.0035547518964830498
ges,4,0.8,100,50,0.6,0.8329931278350429,0.369106084965411,0.830893915034589,0.4,0.8081220356417685,0.17600000000000005,0.624,0.013865821338258684,0.003249338000518122
ges,4,0.8,500,50,0.32,0.740656079818041,0.11470060886597841,0.5252993911340216,0.3,0.7889543583705185,0.0813130090746137,0.5186869909253863,0.012443989370949567,0.003983018054590672
ges,4,0.8,1000,50,0.28,0.6401530429259451,0.1025586294011456,0.4574413705988545,0.28,0.8091315576289312,0.05572017478159125,0.5042798252184089,0.01331406919285655,0.003937340039623415
ges,4,0.8,5000,50,0.24,0.6246631745450127,0.06685220186210858,0.4131477981378914,0.26,0.943506270054764,0.0,0.5215265952059178,0.013508676434867084,0.0034579743606561204
ges,4,0.8,10000,50,0.04,0.19794866372215741,0.0,0.09486857023834319,0.04,0.19794866372215741,0.0,0.09486857023834319,0.014563441020436585,0.002888169279313271
ges,6,0.2,20,50,2.08,1.192493528840526,1.749457657780429,2.410542342219571,0.5,1.0546302185881,0.20767141775050463,0.7923285822494954,0.03382759123109281,0.011062228253354435
ges,6,0.2,50,50,1.0,0.7824607964359516,0.7831129326123847,1.2168870673876153,0.44,1.0528871870107588,0.1481545614541835,0.7318454385458165,0.030670544714666903,0.010276368265522072
ges,6,0.2,100,50,0.58,0.7024737630368142,0.3852842071120064,0.7747157928879935,0.28,0.6712765785411846,0.09393162547063516,0.4660683745293649,0.030721732978709042,0.011834655463336237
ges,6,0.2,500,50,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.02,0.14142135623730948,0.0,0.05919999999999999,0.03137603783980012,0.013619921641411629
ges,6,0.2,1000,50,0.2,0.4948716593053935,0.06282857440414205,0.337171425595858,0.1,0.4629100498862757,0.0,0.2283121194587635,0.027504809936508536,0.009485471671686972
ges,6,0.2,5000,50,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.08,0.44446711960297264,0.0,0.20319999999999996,0.030257013300433754,0.011229854558366338
ges,6,0.2,10000,50,0.02,0.1414213562373095,0.0,0.0592,0.0,0.0,0.0,0.0,0.030987676163204015,0.010673763097491327
ges,6,0.5,20,50,3.7,2.261027398763488,3.0732751800032174,4.326724819996783,1.82,1.7807359175810613,1.3264051864129853,2.313594813587015,0.03033112998586148,0.008752595939750678
ges,6,0.5,50,50,2.48,1.6932037017176063,2.010667878789444,2.949332121210556,1.98,1.9004832897697042,1.4532129082826726,2.506787091717327,0.02926635862328112,0.007041573950047506
ges,6,0.5,100,50,1.62,1.3981036719610676,1.2324654337997707,2.0075345662002295,1.76,1.8796439089598318,1.2389892899373374,2.2810107100626626,0.03145609333645552,0.008017511186759706
ges,6,0.5,500,50,0.76,1.170382808472231,0.4355864367816907,1.0844135632183094,0.7,1.2817398889233114,0.3447198288674135,1.0552801711325865,0.0334141290653497,0.00773297730690671
ges,6,0.5,1000,50,1.02,1.3922526160646191,0.6340872637499508,1.4059127362500492,1.02,1.8570329637815879,0.5052567241818501,1.5347432758181498,0.033838909906335174,0.008371280252758755
ges,6,0.5,5000,50,0.48,1.014989695333235,0.19865921020939747,0.7613407897906025,0.5,1.1823532398033463,0.17226840249985054,0.8277315975001495,0.03715648470446467,0.009412095883141207
ges,6,0.5,10000,50,0.32,0.7406560798180412,0.11470060886597838,0.5252993911340216,0.44,1.2642655365621478,0.08956347222357086,0.7904365277764291,0.03455684744752943,0.007693038279620305
ges,6,0.8,20,50,5.66,1.5857786344729898,5.220444588248535,6.099555411751465,3.9,2.8731693373026808,3.1035980914136383,4.6964019085863615,0.03045915828086436,0.006326660632847893
ges,6,0.8,50,50,4.84,1.6207833832780383,4.390741766909052,5.289258233090948,5.12,2.504200552704049,4.4258710206308916,5.814128979369109,0.03090765110217035,0.005721597439367287
ges,6,0.8,100,50,4.24,1.8357003890524586,3.7311698122162955,4.748830187783705,4.86,2.8428930363850364,4.071990253867378,5.648009746132622,0.034516364401206374,0.006097295781634037
