run_id,algorithm,d,density,n_samples,ds,dp,runtime_sec,graph_seed,noise_seed,status,error_message
24,boss,5,0.2,20,0.0,0.0,0.010853318963199854,1105094192,2643058927,ok,
25,pc,5,0.2,20,0.0,0.0,0.011989003978669643,3281590884,1647882546,ok,
25,ges,5,0.2,20,1.0,0.0,0.015402591088786721,3281590884,1647882546,ok,
25,boss,5,0.2,20,0.0,0.0,0.011021256912499666,3281590884,1647882546,ok,
26,pc,5,0.2,20,0.0,0.0,0.012317478889599442,1979643161,4282984060,ok,
26,ges,5,0.2,20,0.0,0.0,0.013477253029122949,1979643161,4282984060,ok,
26,boss,5,0.2,20,0.0,0.0,0.010987906949594617,1979643161,4282984060,ok,
27,pc,5,0.2,20,0.0,0.0,0.012128422036767006,3457402174,4212655701,ok,
27,ges,5,0.2,20,0.0,0.0,0.013654644135385752,3457402174,4212655701,ok,
27,boss,5,0.2,20,0.0,0.0,0.01110246405005455,3457402174,4212655701,ok,
28,pc,5,0.2,20,1.0,0.0,0.029108252143487334,1630040364,2944380402,ok,
28,ges,5,0.2,20,2.0,1.0,0.016336573055014014,1630040364,2944380402,ok,
28,boss,5,0.2,20,0.0,0.0,0.010770155116915703,1630040364,2944380402,ok,
29,pc,5,0.2,20,1.0,0.0,0.042573375860229135,4080649789,2793701317,ok,
29,ges,5,0.2,20,0.0,0.0,0.014459817903116345,4080649789,2793701317,ok,
29,boss,5,0.2,20,1.0,0.0,0.04161547590047121,4080649789,2793701317,ok,
30,pc,5,0.2,20,1.0,0.0,0.01278632995672524,3609109947,2956856191,ok,
30,ges,5,0.2,20,0.0,0.0,0.012980591040104628,3609109947,2956856191,ok,
30,boss,5,0.2,20,1.0,0.0,0.011813013814389706,3609109947,2956856191,ok,
31,pc,5,0.2,20,0.0,0.0,0.011318699922412634,3023661486,1670404795,ok,
31,ges,5,0.2,20,1.0,0.0,0.02500163810327649,3023661486,1670404795,ok,
31,boss,5,0.2,20,0.0,0.0,0.010418247897177935,3023661486,1670404795,ok,
32,pc,5,0.2,20,0.0,0.0,0.011137475026771426,3758767033,580235069,ok,
32,ges,5,0.2,20,1.0,0.0,0.02027633087709546,3758767033,580235069,ok,
32,boss,5,0.2,20,0.0,0.0,0.01044528279453516,3758767033,580235069,ok,
33,pc,5,0.2,20,1.0,0.0,0.016917062923312187,2486371348,3098768824,ok,
33,ges,5,0.2,20,2.0,0.0,0.01295143598690629,2486371348,3098768824,ok,
33,boss,5,0.2,20,1.0,0.0,0.015485720010474324,2486371348,3098768824,ok,
34,pc,5,0.2,20,0.0,0.0,0.011361519107595086,3631311418,2256379632,ok,
34,ges,5,0.2,20,2.0,0.0,0.033802565885707736,3631311418,2256379632,ok,
34,boss,5,0.2,20,2.0,0.0,0.041737241903319955,3631311418,2256379632,ok,
35,pc,5,0.2,20,1.0,0.0,0.011703427881002426,1612402199,1332478708,ok,
35,ges,5,0.2,20,1.0,0.0,0.014798931078985333,1612402199,1332478708,ok,
35,boss,5,0.2,20,0.0,0.0,0.011300506070256233,1612402199,1332478708,ok,
36,pc,5,0.2,20,1.0,0.0,0.012942907866090536,1816595735,2086646976,ok,
36,ges,5,0.2,20,1.0,0.0,0.010112429037690163,1816595735,2086646976,ok,
36,boss,5,0.2,20,0.0,0.0,0.011360967997461557,1816595735,2086646976,ok,
37,pc,5,0.2,20,1.0,0.0,0.016668715979903936,3087315778,3820321157,ok,
37,ges,5,0.2,20,0.0,0.0,0.0142438521143049,3087315778,3820321157,ok,
37,boss,5,0.2,20,1.0,0.0,0.015280832070857286,3087315778,3820321157,ok,
38,pc,5,0.2,20,0.0,0.0,0.011837690137326717,313304721,4011686353,ok,
38,ges,5,0.2,20,2.0,1.0,0.016225961036980152,313304721,4011686353,ok,
38,boss,5,0.2,20,1.0,0.0,0.010942901019006968,313304721,4011686353,ok,
39,pc,5,0.2,20,0.0,0.0,0.011714484076946974,2282102939,1536718667,ok,
39,ges,5,0.2,20,1.0,1.0,0.03939878707751632,2282102939,1536718667,ok,
39,boss,5,0.2,20,0.0,0.0,0.011065189959481359,2282102939,1536718667,ok,
40,pc,5,0.2,20,2.0,0.0,0.043117403984069824,2889393616,2454701930,ok,
40,ges,5,0.2,20,3.0,0.0,0.041449933080002666,2889393616,2454701930,ok,
40,boss,5,0.2,20,2.0,0.0,0.041730473982170224,2889393616,2454701930,ok,
41,pc,5,0.2,20,1.0,0.0,0.02134991902858019,1093525228,1382418507,ok,
41,ges,5,0.2,20,1.0,0.0,0.015391176100820303,1093525228,1382418507,ok,
41,boss,5,0.2,20,1.0,0.0,0.01985421497374773,1093525228,1382418507,ok,
42,pc,5,0.2,20,0.0,0.0,0.011690394021570683,3090273954,2552499192,ok,
42,ges,5,0.2,20,0.0,0.0,0.01332704909145832,3090273954,2552499192,ok,
42,boss,5,0.2,20,0.0,0.0,0.01040753093548119,3090273954,2552499192,ok,
43,pc,5,0.2,20,0.0,0.0,0.01185803092084825,2166461505,1451317661,ok,
43,ges,5,0.2,20,1.0,0.0,0.014535886002704501,2166461505,1451317661,ok,
43,boss,5,0.2,20,1.0,0.0,0.015362850157544017,2166461505,1451317661,ok,
